AREA,PERIMETER,NCIDAD_,NCIDAD_ID,NOME
72522.790000,1451.235000,564,902,Esperança
273200.200000,3797.197000,565,903,Montenegro
345410.600000,4060.188000,566,904,Montenegro
4444456.000000,28238.380000,567,905,Santa Isabel
146524.900000,2453.148000,568,906,Vargem Grande
130511.100000,2018.361000,569,907,Vargem Grande
967554.600000,5174.191000,570,908,Jardim das Acácias
890605.700000,5146.541000,571,909,Bairro Jardim Parateí
79594.380000,1211.933000,572,910,Vargem Grande
216537.800000,1985.268000,573,911,Esperança
142307.800000,2162.343000,574,912,Vargem Grande
1137972.000000,4871.079000,575,913,Bairro Jardim Trinta e Três
171985.800000,1708.376000,576,0,vazio urbano
155285.300000,1797.044000,577,915,Bairro Jardim Parateí
228216.700000,2277.990000,578,916,Vasconcelândia
182955.000000,1915.021000,579,917,Chácaras Guanabara
342344.300000,3013.763000,580,919,Chácaras Guanabara
156317.200000,2080.069000,581,920,Jardim das Acácias
1212027.000000,4641.726000,582,921,Chácaras Guanabara
600427.500000,4365.568000,583,922,Loteamento Astro Verde
1471458.000000,8825.156000,584,923,Chácaras Boa Vista
596091.800000,3074.812000,585,924,Chácaras Guanabara
1259274.000000,9486.766000,586,925,Itapema
234259.300000,3046.708000,587,926,Bairro Tevó
325450.800000,3151.535000,588,927,Morro Grande
82602.670000,1159.639000,589,928,Bairro Tevó
618761.400000,4572.247000,590,929,Natividade da Serra
514971.700000,7044.562000,591,930,Arujá
689884.800000,4669.762000,592,932,Paraibuna
1275335.000000,10477.860000,593,933,Estância Pacaembu
2141613.000000,7437.471000,594,934,Arujá
374711.600000,3860.436000,595,935,Arujá
1060812.000000,7615.749000,596,936,Arujá
816196.800000,6211.954000,597,938,Estância Pacaembu
183954.900000,2266.266000,598,941,Sítio Boa Esperança
201183.300000,2980.342000,599,943,Sítio Boa Esperança
1543788.000000,7934.068000,600,940,Santa Branca
518163.400000,5566.636000,601,945,Arujá
4236710.000000,23488.000000,602,946,Guararema
891972.900000,4321.753000,603,947,Bairro da Cachoeira
168598.900000,1695.926000,604,948,Pavão
942468.600000,7813.275000,605,949,Arujá
579339.500000,5721.388000,606,966,Fazenda Morro Verde
155561.700000,1888.810000,607,951,Barroca
311348.400000,2398.541000,608,952,Bairro do Jacaré
582313.800000,5906.046000,609,953,São Bento
608367.300000,5502.446000,610,950,Fazenda Morro Verde
1260283.000000,9088.420000,611,954,Fazenda Morro Verde
3738411.000000,18260.530000,612,955,Bairro Jardim Marcelo
97052.480000,1183.919000,613,956,Bairro Alto
2879568.000000,16493.430000,614,957,Vila Suiça
469883.500000,4897.354000,615,958,Sabaúna
77203.200000,1426.915000,616,959,Botojuru
11641540.000000,21835.260000,617,961,Mogi das Cruzes
213540.500000,2950.515000,618,962,Salesópolis
5585309.000000,12860.630000,619,963,Brás Cubas
241167.900000,2808.754000,620,964,Mogi das Cruzes
