R24962,R2496,14, 2.64450500000000E+0004,5
R2498,R24,19, 1.44223170000000E+0005,4
R24982,R2498,15, 4.94965000000002E+0003,5
R24992,R24,16, 1.53297920000000E+0005,4
R24994,R24,10, 1.55782460000000E+0005,4
R249942,R24994,7, 4.00222999999998E+0003,5
R24996,R24,4, 1.61673360000000E+0005,4
R252,R2,510, 1.25748830000000E+0005,3
R2522,R252,655, 1.22508100000000E+0004,4
R25222,R2522,658, 1.72504999999999E+0003,5
R2532,R2,502, 1.30835280000000E+0005,3
R25322,R2532,524, 4.09456000000000E+0003,4
R254,R2,499, 1.40292650000000E+0005,3
R2542,R254,560, 7.01237000000000E+0003,4
R25422,R2542,592, 2.41587000000000E+0003,5
R2544,R254,564, 7.92107999999999E+0003,4
R25442,R2544,715, 9.76307999999999E+0003,5
R25452,R254,613, 1.66478200000000E+0004,4
R2546,R254,640, 1.84880000000000E+0004,4
R2548,R254,643, 1.95272200000000E+0004,4
R2552,R2,495, 1.43347080000000E+0005,3
R2554,R2,468, 1.45054200000000E+0005,3
R25542,R2554,463, 1.00041000000000E+0004,4
R25544,R2554,367, 1.32576799999999E+0004,4
R2556,R2,522, 1.59995590000000E+0005,3
R25572,R2,479, 1.65487890000000E+0005,3
R2558,R2,452, 1.72229350000000E+0005,3
R256,R2,461, 1.81121940000000E+0005,3
R25612,R256,424, 4.86388000000000E+0003,4
R256122,R25612,381, 3.95001000000001E+0003,5
R256124,R25612,355, 5.17102000000002E+0003,5
R2562,R256,380, 1.12255800000000E+0004,4
R25622,R2562,334, 2.19137000000000E+0003,5
R25624,R2562,323, 8.16479999999999E+0003,5
R25626,R2562,292, 8.36932999999999E+0003,5
R25632,R256,331, 1.43357700000000E+0004,4
R25634,R256,310, 1.56737600000000E+0004,4
R2564,R256,303, 1.77750100000000E+0004,4
R25642,R2564,282, 2.75538000000000E+0003,5
R25644,R2564,259, 4.51388000000000E+0003,5
R25646,R2564,251, 7.12809000000000E+0003,5
R25652,R256,283, 2.60688100000000E+0004,4
R25654,R256,237, 2.66194100000000E+0004,4
R256542,R25654,245, 2.68679999999999E+0003,5
R2566,R256,238, 3.24931900000000E+0004,4
R25662,R2566,205, 2.84476000000001E+0003,5
